url,transferSize,decodedBodySize,resourceCount,scriptCount,imageCount,divCount,runtime,package-0,package-0-core,package-0-uncore
midden-groningen.nl,14079,64881,22,7,5,84,4.17211,1.995983,0.8113675,0
midden-groningen.nl,14079,64881,22,7,5,84,4.164117,1.3878772,0.5861388,0.000183
midden-groningen.nl,14079,64881,22,7,5,84,4.1550846,1.3768375,0.5146413,0
midden-groningen.nl,14079,64881,22,7,5,84,4.1610503,1.0325172,0.46371642,0
midden-groningen.nl,14079,64881,22,7,5,84,4.142017,1.1216977,0.4367337,0.000244
octrooigemachtigde.nl,4179,17972,28,7,6,78,7.297011,1.5167308,0.4274055,0.000122
octrooigemachtigde.nl,4179,17972,28,7,6,78,6.8418994,1.181495,0.23992711,0
octrooigemachtigde.nl,4179,17972,28,7,6,78,6.533253,1.0631793,0.286458,0.000061
octrooigemachtigde.nl,4179,17972,28,7,6,78,7.4308686,1.22575,0.33501464,0.000306
octrooigemachtigde.nl,4179,17972,28,7,6,78,7.0718164,2.2776518,0.5531651,0
derbg.nl,14169,94952,26,13,24,410,4.09793,0.6031468,0.23746559,0
derbg.nl,14169,94952,26,13,24,410,4.107305,0.6195309,0.20616476,0.000122
derbg.nl,14169,94952,26,13,24,410,4.1091294,0.56618917,0.16421245,0
derbg.nl,14169,94952,26,13,24,410,4.104944,1.204171,0.60116595,0.000305
derbg.nl,14169,94952,26,13,24,410,4.1122475,0.989275,0.21082647,0
aalsmeer.nl,83595,83295,39,7,17,138,4.272995,2.468862,0.7389392,0
aalsmeer.nl,83595,83295,39,7,17,138,4.2101874,1.8206695,0.66709244,0.000183
aalsmeer.nl,83595,83295,39,7,17,138,4.223645,1.5154591,0.59459364,0
aalsmeer.nl,83595,83295,39,7,17,138,4.2280555,2.2029996,0.73691404,0.000122
aalsmeer.nl,83595,83295,39,7,17,138,4.2307706,1.7740291,0.6789921,0
venlo.nl,10409,54424,16,8,3,76,4.114021,1.4394335,0.35137242,0
venlo.nl,10409,54424,16,8,3,76,4.1323643,1.4626118,0.3761279,0.000122
venlo.nl,10409,54424,16,8,3,76,4.130654,1.0395252,0.35966414,0
venlo.nl,10409,54424,16,8,3,76,4.1214304,0.94745445,0.30850023,0
venlo.nl,10409,54424,16,8,3,76,4.1306295,1.1288917,0.4435262,0.000122
rvo.nl/subsidies-financiering/sdg-partnerschapfaciliteit,22636,86859,45,18,37,173,4.148059,2.0878882,0.7404794,0
rvo.nl/subsidies-financiering/sdg-partnerschapfaciliteit,22636,86859,45,18,37,173,4.2674174,1.9324635,0.7376618,0
rvo.nl/subsidies-financiering/sdg-partnerschapfaciliteit,22636,86859,45,18,37,173,4.2554803,1.7602686,0.5199328,0.000122
rvo.nl/subsidies-financiering/sdg-partnerschapfaciliteit,22636,86859,45,18,37,173,4.254858,1.5084633,0.5313125,0
rvo.nl/subsidies-financiering/sdg-partnerschapfaciliteit,22636,86859,45,18,37,173,4.281597,1.6771734,0.57962084,0.000183
caparis.nl,172068,171768,90,10,74,420,4.2013235,1.6871208,0.6030965,0
caparis.nl,172068,171768,90,10,74,420,4.2146,1.3623971,0.4279438,0
caparis.nl,172068,171768,90,10,74,420,4.1992474,1.2983725,0.47263402,0.000245
caparis.nl,172068,171768,90,10,74,420,4.2146883,1.6521537,0.5147928,0
caparis.nl,172068,171768,90,10,74,420,4.2193046,1.8783631,0.63964814,0.000122
bsr.nl,24945,133345,27,15,4,78,4.0977144,0.7695613,0.22508419,0
bsr.nl,24945,133345,27,15,4,78,4.1142144,0.61836755,0.19358882,0
bsr.nl,24945,133345,27,15,4,78,4.129983,0.8600068,0.18818502,0.000122
bsr.nl,24945,133345,27,15,4,78,4.1075344,0.59153867,0.20584853,0
bsr.nl,24945,133345,27,15,4,78,4.1067142,0.88223815,0.20423707,0.000366
regiorvn.nl,93353,93053,19,13,14,93,4.1374965,4.5123806,1.1060611,0
regiorvn.nl,93353,93053,19,13,14,93,4.142025,4.0147543,1.0531863,0
regiorvn.nl,93353,93053,19,13,14,93,4.1414447,4.1107683,1.0470471,0.000122
regiorvn.nl,93353,93053,19,13,14,93,4.149999,4.2428045,1.0802959,0
regiorvn.nl,93353,93053,19,13,14,93,4.1380277,3.8372264,0.99306154,0
vrd.nl,8551,49678,40,11,12,217,4.1457014,1.332138,0.45433047,0.000183
vrd.nl,8551,49678,40,11,12,217,4.306571,1.6797773,0.41017282,0
vrd.nl,8551,49678,40,11,12,217,4.1558857,1.0768694,0.40449858,0
vrd.nl,8551,49678,40,11,12,217,4.1433144,0.7220284,0.3606259,0.000183
vrd.nl,8551,49678,40,11,12,217,4.1437325,0.8561243,0.33979428,0
leiden.nl/gemeente,11672,54908,28,23,6,227,5.6485066,4.01447,1.7326238,0
leiden.nl/gemeente,11672,54908,28,23,6,227,5.5844903,2.5714521,1.2009339,0
leiden.nl/gemeente,11672,54908,28,23,6,227,5.49173,3.076189,1.1669811,0.000122
leiden.nl/gemeente,11672,54908,28,23,6,227,5.6489406,3.7543342,1.2618425,0.000183
leiden.nl/gemeente,11672,54908,28,23,6,227,5.4776564,3.1443005,1.2518363,0
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7684,44560,41,14,7,187,4.8828464,4.9746428,2.982932,0
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7684,44560,41,14,7,187,4.173564,0.85711217,0.33498573,0.000122
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7684,44560,41,14,7,187,4.1677566,1.275765,0.39304453,0
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7684,44560,41,14,7,187,4.1724176,1.1989778,0.4165178,0.000123
bureauwbtv.nl/commissies/kwaliteitsinstituut-wbtv,7684,44560,41,14,7,187,4.170067,1.9619566,0.44805658,0
samh.nl,361,61,0,0,0,0,4.02686,0.18222666,0.03689806,0
samh.nl,361,61,0,0,0,0,4.0349746,0.3577261,0.05557941,0.000183
samh.nl,361,61,0,0,0,0,4.03287,0.3664503,0.03797221,0
samh.nl,361,61,0,0,0,0,4.033289,0.088193536,0.015432537,0
samh.nl,361,61,0,0,0,0,4.0351067,0.3361838,0.10495153,0.000244
waagroep.nl,25107,96173,119,54,47,154,5.950534,7.331081,2.5192108,0
waagroep.nl,25107,96173,119,54,47,154,5.972377,7.2813926,2.1661875,0.000061
waagroep.nl,25107,96173,119,54,47,154,5.8485966,7.855969,2.3277702,0.000122
waagroep.nl,25107,96173,119,54,47,154,6.1391497,7.021801,2.2860124,0
waagroep.nl,25107,96173,119,54,47,154,5.931325,6.8867097,2.1914542,0.000122
gemeenteberkelland.nl,0,0,0,0,0,0,4.0305934,3.4559917,0.07310866,0
gemeenteberkelland.nl,0,0,0,0,0,0,4.042975,1.792304,0.13346986,0
gemeenteberkelland.nl,0,0,0,0,0,0,4.0381813,0.3845955,0.12648049,0.000305
gemeenteberkelland.nl,0,0,0,0,0,0,4.0400047,0.49134922,0.033627212,0
gemeenteberkelland.nl,0,0,0,0,0,0,4.0443654,0.1525464,0.054794878,0
bunschoten.nl,27446,151210,51,21,5,137,4.3496656,2.0902991,1.2075051,0
bunschoten.nl,27446,151210,51,21,5,137,4.3229403,1.9321432,1.0561702,0
bunschoten.nl,27446,151210,51,21,5,137,4.3269663,2.1456084,1.0926118,0.000122
bunschoten.nl,27446,151210,51,21,5,137,4.3214664,2.2209902,1.080406,0
bunschoten.nl,27446,151210,51,21,5,137,4.2871366,1.9934356,1.0765649,0
vaals.nl,30910,30610,38,15,14,114,4.9199567,2.078745,0.79647017,0
vaals.nl,30910,30610,38,15,14,114,4.9401817,1.877538,0.5610717,0.000122
vaals.nl,30910,30610,38,15,14,114,4.9138956,1.4990377,0.46574622,0
vaals.nl,30910,30610,38,15,14,114,4.9462843,1.8221583,0.51905173,0
vaals.nl,30910,30610,38,15,14,114,4.9645977,3.3378997,0.6280986,0.000245
rekenkamerwvolv.nl,31258,172831,29,19,1,99,4.4105597,11.034224,6.79987,0
rekenkamerwvolv.nl,31258,172831,29,19,1,99,4.4192033,11.4956255,6.65056,0.000183
rekenkamerwvolv.nl,31258,172831,29,19,1,99,4.3900824,11.27149,7.171937,0
rekenkamerwvolv.nl,31258,172831,29,19,1,99,4.47046,10.480495,6.608662,0
rekenkamerwvolv.nl,31258,172831,29,19,1,99,4.4282174,11.611592,7.2914524,0.000122
svb.nl,9882,91083,33,15,10,91,4.285228,4.776117,1.9128901,0.000244
svb.nl,9882,91083,33,15,10,91,4.244686,3.8762076,1.5547129,0
svb.nl,9882,91083,33,15,10,91,4.2540054,3.748818,1.5282975,0
svb.nl,9882,91083,33,15,10,91,4.26649,3.6697383,1.5848682,0.000061
svb.nl,9882,91083,33,15,10,91,4.250021,3.4355426,1.5060751,0
ggdbzo.nl,14293,75184,14,26,19,106,4.0776873,3.1027577,0.6684208,0.000183
ggdbzo.nl,14293,75184,14,26,19,106,4.0841994,2.9648662,0.6345605,0
ggdbzo.nl,14293,75184,14,26,19,106,4.0794325,2.6263554,0.660774,0
ggdbzo.nl,14293,75184,14,26,19,106,4.074614,2.2715116,0.5683987,0.000122
ggdbzo.nl,14293,75184,14,26,19,106,4.0883846,2.4440703,0.59696,0
