url,transferSize,decodedBodySize,resourceCount,scriptCount,imageCount,divCount,Runtime,RAPL package-0 (J),RAPL package-0-core (J),RAPL package-0-uncore (J),INA system energy (J)
midden-groningen.nl,14122,64958,22,7,5,84,4.157077,1.5593832,0.7872099,0,4.633649
midden-groningen.nl,14122,64958,22,7,5,84,4.146518,1.3085601,0.4832033,0.000061,3.0353756
midden-groningen.nl,14122,64958,22,7,5,84,4.144925,0.77117586,0.42106038,0,1.6019087
midden-groningen.nl,14122,64958,22,7,5,84,4.1426086,0.9858048,0.5233588,0.000061,2.3890219
midden-groningen.nl,14122,64958,22,7,5,84,4.1467385,1.4754214,0.4436124,0,3.5973177
octrooigemachtigde.nl,4179,17972,29,7,6,78,4.324032,1.5487647,0.47139096,0,4.4297943
octrooigemachtigde.nl,4179,17972,29,7,6,78,4.3639545,0.8208859,0.30540228,0.000122,1.9849901
octrooigemachtigde.nl,4179,17972,29,7,6,78,4.385213,1.6712625,0.53704745,0,3.36868
octrooigemachtigde.nl,4179,17972,29,7,6,78,4.3736463,1.0874805,0.46296406,0.000122,2.9292078
octrooigemachtigde.nl,4179,17972,29,7,6,78,4.4324336,0.91140914,0.3662234,0,2.0929022
derbg.nl,14136,94604,26,13,24,408,4.0956793,0.7033737,0.28775674,0,1.7578115
derbg.nl,14136,94604,26,13,24,408,4.083348,0.77366924,0.26301062,0.000122,1.6952763
derbg.nl,14136,94604,26,13,24,408,4.081265,0.5430312,0.2475897,0,1.3567982
derbg.nl,14136,94604,26,13,24,408,4.088209,0.6817994,0.34474814,0.000122,2.370471
derbg.nl,14136,94604,26,13,24,408,4.085787,0.7594676,0.23002535,0,1.9391022
aalsmeer.nl,83169,82869,39,7,17,138,4.2752986,2.2285824,0.8887732,0,5.4594
aalsmeer.nl,83169,82869,39,7,17,138,4.1867986,1.5534272,0.65509903,0.000122,3.6834164
aalsmeer.nl,83169,82869,39,7,17,138,4.266122,1.8889892,0.6560427,0,4.170129
aalsmeer.nl,83169,82869,39,7,17,138,4.170422,1.7697358,0.7000117,0.000122,3.9748688
aalsmeer.nl,83169,82869,39,7,17,138,4.1840343,1.7453735,0.66958874,0,4.1591635
venlo.nl,10427,54410,16,8,3,76,4.112471,1.124757,0.507536,0,4.402807
venlo.nl,10427,54410,16,8,3,76,4.108831,1.8053179,0.6456635,0.000122,3.7245216
venlo.nl,10427,54410,16,8,3,76,4.111138,4.210989,0.8856517,0,8.312432
venlo.nl,10427,54410,16,8,3,76,4.1120067,0.9345422,0.4558043,0,1.9977331
venlo.nl,10427,54410,16,8,3,76,4.109864,1.3390098,0.6280155,0.000122,3.6281557
rvo.nl/subsidies-financiering/sdg-partnerschapfaciliteit,22636,86859,45,18,37,173,4.165418,1.9533651,0.7661277,0,6.1750355
rvo.nl/subsidies-financiering/sdg-partnerschapfaciliteit,22636,86859,45,18,37,173,4.242312,1.9381938,0.9003348,0,4.667898
rvo.nl/subsidies-financiering/sdg-partnerschapfaciliteit,22636,86859,45,18,37,173,4.2177005,1.5782075,0.57940996,0.000061,3.355196
