Language,Benchmark,Runtime (s),RAPL package-0 (J),RAPL package-0-core (J),RAPL psys (J),INA system energy (J)
Go,csv-svg-path,2.46109438,8.72358513,6.69173288,0.16193968,26.72476768
Go,csv-svg-path,2.37324762,8.27226830,6.49065351,0.15627527,28.94433212
Go,csv-svg-path,2.34243059,8.13061905,6.40290308,0.15479648,26.71817970
Go,csv-svg-path,2.37117481,8.25806999,6.46479368,0.15752825,26.79178619
Go,csv-svg-path,2.36619258,8.26747513,6.48932838,0.15485705,26.86319542
Go,csv-svg-path,2.38906193,8.33272743,6.55459976,0.15670243,26.82230568
Go,csv-svg-path,2.36609483,8.34441757,6.50569487,0.15699556,27.01961899
Go,csv-svg-path,2.39674592,8.35047436,6.52388144,0.15664493,28.99606705
Go,csv-svg-path,2.38703251,8.38620663,6.55882692,0.15581870,26.79468536
Go,csv-svg-path,2.38754511,8.36461830,6.53552294,0.15379581,26.85626793
Go,csv-svg-path,2.38199306,8.31819057,6.52892256,0.15485841,28.83494568
Go,csv-svg-path,2.37505698,8.44430637,6.54742193,0.15374437,27.15984535
Go,csv-svg-path,2.37916970,8.32682228,6.54018402,0.15355895,26.90249252
Go,csv-svg-path,2.36366367,8.29436493,6.50703096,0.15215006,28.96146584
Go,csv-svg-path,2.38223028,8.31188488,6.51022291,0.15393876,26.92827034
Go,csv-svg-path,2.40032721,8.42202663,6.59494305,0.15884870,26.89591599
Go,csv-svg-path,2.37970471,8.31551361,6.53262615,0.15538171,26.74528694
Go,csv-svg-path,2.39886022,8.42814159,6.61382389,0.15685633,28.99228668
Go,csv-svg-path,2.38844013,8.40771580,6.59305096,0.15634601,27.04216766
Go,csv-svg-path,2.36062813,8.34734917,6.49896526,0.15634686,27.02939415
Go,csv-svg-path,2.38106775,8.29913044,6.53334713,0.15584970,28.80534935
Go,csv-svg-path,2.36531687,8.34190083,6.53879070,0.15822858,27.05226135
Go,csv-svg-path,2.35527778,8.28002262,6.51840878,0.15557536,26.91395950
Go,csv-svg-path,2.38078904,8.37630749,6.56010723,0.15805000,26.99334717
Go,csv-svg-path,2.39954424,8.57967472,6.62907648,0.15739578,27.20981598
Go,csv-svg-path,2.36575460,8.30230904,6.53203392,0.15645182,29.05147743
Go,csv-svg-path,2.35483694,8.25461769,6.52656984,0.15716916,26.88349724
Go,csv-svg-path,2.35700178,8.24296951,6.51231956,0.15505978,26.75462723
Go,csv-svg-path,2.37526941,8.34434986,6.56259918,0.15758710,26.84696579
Go,csv-svg-path,2.35983181,8.34962368,6.53999710,0.15721413,26.99956703
Go,csv-svg-path,2.36077166,8.29108429,6.53838062,0.15365966,26.99788666
Go,csv-svg-path,2.40185595,8.52280617,6.67139387,0.15613914,29.36193085
Go,csv-svg-path,2.36947107,8.36100674,6.57647038,0.15492952,27.04483414
Go,csv-svg-path,2.41523552,8.60633755,6.69761372,0.15855682,27.21301079
Go,csv-svg-path,2.39034557,8.43262482,6.61935425,0.15729262,29.10126114
